train_loss,test_loss,train_predict,train_label,validation_predict,validation_label
0.151512057,0.442929,4.86007,5.1394396,,
0.153148532,0.4576464,4.0940394,4.0759125,,
0.156876147,0.409752697,3.2308812,3.8038068,,
0.146453321,0.451154143,2.9578857,2.999344,,
0.149579853,0.474813998,3.1714213,3.57664,,
0.16159597,0.385205656,4.574942,4.278715,,
0.156593308,0.4559668,4.1841216,4.6055193,,
0.145058572,0.441795796,4.6346474,4.2786674,,
0.141201347,0.441555798,4.9416227,5.023619,,
0.145405754,0.459844738,2.7560892,2.5907784,,
0.144396484,0.445858151,4.0911355,3.6849103,,
0.152125448,0.427407265,3.9725711,3.7864778,,
0.147729605,0.458368331,3.2355218,3.126492,,
0.148283124,0.429873645,3.080515,3.5814722,,
0.152398646,0.455279499,3.755677,4.1625752,,
0.153078407,0.457693398,4.1918364,4.116488,,
0.161984086,0.456804723,3.015371,2.938626,,
0.155911654,0.408174753,4.1568456,4.0549893,,
0.155436561,0.403727412,4.883315,5.0221953,,
0.144909665,0.430122823,3.888713,3.6786397,,
0.161981836,0.368406832,4.8550024,5.104129,,
0.242325097,0.366261929,4.3178725,4.838447,,
0.221834928,0.398300618,3.1331072,3.66471,,
0.191099226,0.446809471,4.4727125,4.92563,,
0.166720733,0.412533343,4.4329786,4.2575397,,
0.158850774,0.385282516,3.2144537,2.9424553,,
0.146736443,0.468017936,3.4145858,3.761345,,
0.13948527,0.457620859,4.1588407,4.441435,,
0.1383982,0.477200896,3.1970012,3.1392856,,
0.142843023,0.442053199,4.3292203,4.614006,,
0.142703384,0.393361062,4.8693614,4.714371,,
0.138648495,0.444052011,2.978064,2.6778376,,
0.135563403,0.463464439,3.5394437,3.395356,,
0.134138182,0.432285279,3.034235,2.9581473,,
0.132250503,0.438373059,3.142675,2.8766522,,
0.126382917,0.465654731,4.809285,4.0352645,,
0.132344648,0.451997101,4.1172686,4.528391,,
0.12896046,0.437344134,3.4283617,3.5617573,,
0.161183909,0.387834042,3.1304274,2.8948488,,
0.14884524,0.497494996,3.2205822,3.2206357,,
0.152630553,0.427696139,4.0044994,4.182652,,
0.154631138,0.418908924,4.351648,4.591546,,
0.157293946,0.455634773,3.9107296,4.066234,,
0.139693469,0.486480892,3.2004566,3.569647,,
0.142200187,0.445070118,3.2417674,3.604072,,
0.15667066,0.383960009,4.904632,4.9881186,,
0.137137905,0.410834134,3.1033764,3.0369935,,
0.138366207,0.459309012,3.3893142,3.5894911,,
0.131662667,0.457256079,3.1558592,2.8905125,,
0.148037672,0.43177247,3.1334965,3.0971446,,
0.144264415,0.406742871,4.5727425,4.855779,,
0.156424478,0.471925586,3.1306036,3.1826181,,
0.143179506,0.460760832,3.147738,3.1752443,,
0.157513574,0.409160197,3.1877193,2.9640083,,
0.170444742,0.499253273,3.077988,2.9153585,,
0.149061918,0.414942235,3.1729789,2.9865253,,
0.156691089,0.402111083,4.816086,4.3616605,,
0.139520451,0.465242416,4.0494924,3.8674383,,
0.142130703,0.457547456,4.1406894,4.662502,,
0.131356001,0.434372783,4.0654964,4.0223536,,
0.130415604,0.456068128,3.1570587,3.0836957,,
0.135211959,0.426623642,3.1542091,3.2133105,,
0.13138552,0.398610353,4.608631,4.840432,,
0.133059651,0.478362441,4.469101,4.054588,,
0.131189361,0.453609765,3.1121414,2.883941,,
0.126166761,0.463618517,4.696637,4.5407786,,
0.136149004,0.410742342,3.6682253,3.6613085,,
0.14958334,0.452091932,3.1403213,3.0036023,,
0.12754105,0.500619531,4.4106455,4.3673496,,
0.129195794,0.459082782,2.9620013,3.209517,,
0.121448338,0.438090175,3.1869848,3.075542,,
0.119294606,0.503649473,3.1851773,3.018683,,
0.128808081,0.456348658,3.2523751,3.7366738,,
0.127912506,0.423545748,4.757881,4.8453736,,
0.127910331,0.455764771,3.3116136,3.456874,,
0.121394664,0.418787986,4.177142,4.107921,,
